Date,aord,cac40,daxi,dji,hsi,nasdaq,nikkei,sp500,spy,spy_lag1,Price
2008-01-04,-2.300293000000238,5.489745999999286,-27.99023500000021,2.4394499999998516,515.3496089999971,-40.87988300000006,-464.32031300000017,-3.540038999999979,-1.5299980000000062,-1.570007999999973,143.339996
2008-01-07,-27.5,-111.68994099999964,-102.7099610000023,-245.40917999999874,216.95117099999698,-56.93017599999985,-48.83007799999905,-29.940063999999893,0.27000400000000013,-1.5299980000000062,141.809998
2008-01-08,-33.89990200000011,44.50976599999922,33.680176000002575,19.75,-354.06054699999004,-7.179931000000124,99.37011699999857,1.6400149999999485,-2.990005999999994,0.27000400000000013,142.080002
2008-01-09,-12.900390000000698,-17.109863999999106,-5.270019999999931,-230.69043000000056,768.359375,-63.1198730000001,234.45019499999762,-25.45996100000002,0.5899969999999826,-2.990005999999994,139.089996
2008-01-10,-100.20019599999978,9.140137000000323,-40.12011700000039,142.9003900000007,-195.5605470000046,8.270019000000502,-158.20996099999502,16.530029000000013,1.1000060000000076,0.5899969999999826,139.679993
2008-01-11,-100.20019599999978,-70.04980499999965,-81.65966799999933,117.6298799999986,-568.5,19.73998999999958,-308.63964900000246,13.130004999999983,0.38000499999998283,1.1000060000000076,140.779999
2008-01-14,-21.800293000000238,-52.660156000000825,-24.910155999999915,-236.95996000000014,-550.9999999999964,-0.9899899999995796,-308.63964900000246,-17.0,-1.3700110000000052,0.38000499999998283,141.160004
2008-01-15,-132.80029300000024,44.540039000000434,22.060059000000365,163.7197300000007,-891.1503909999992,-21.830078000000412,-162.2802730000003,8.969970999999987,-2.42999199999997,-1.3700110000000052,139.78999299999998
2008-01-16,-20.89990200000011,-174.1499020000001,-178.12011800000073,-300.69043000000056,-680.2597659999992,-58.47998000000007,-292.22070300000087,-34.46997099999999,0.4499969999999962,-2.42999199999997,137.360001
2008-01-17,-3.600097999999889,62.06982400000015,-31.62988199999927,-9.759759999999005,409.9003909999992,15.179931000000124,187.07031199999983,-2.619995000000017,-3.069993000000011,0.4499969999999962,137.809998
2008-01-18,-3.600097999999889,-118.72998000000007,-87.30029300000115,-307.1093799999999,954.6992189999983,-40.179931000000124,283.7900389999977,-40.89001499999995,-7.530006,-3.069993000000011,134.740005
2008-01-22,181.39990299999954,-461.68994099999964,-701.2900390000041,-67.22069999999985,-866.6582039999994,-144.36010799999985,-552.1806639999995,-20.96008299999994,-0.12000299999999697,-7.530006,127.209999
2008-01-23,124.89990299999954,405.20996099999957,220.41992200000186,-123.63965000000098,730.9707030000027,5.570068999999876,72.75,-2.529907000000094,7.390000000000001,-0.12000299999999697,127.089996
2008-01-24,254.69970699999976,-133.00976599999922,-261.70019599999796,303.61035000000084,-857.580077999999,102.09008700000004,140.2802730000003,29.719970999999987,2.0299990000000037,7.390000000000001,134.479996
2008-01-25,254.69970699999976,184.57958999999937,334.0502929999975,119.00976999999875,320.90820299999905,73.93994199999997,370.390625,17.18994100000009,-3.25,2.0299990000000037,136.509995
2008-01-28,-133.3999020000001,-210.06982400000015,-134.87011699999948,-185.99023999999918,-288.78125,-77.94995100000006,-394.92968800000017,-26.619995000000017,2.840011000000004,-3.25,133.259995
2008-01-29,-115.4003900000007,101.87988299999961,85.31005900000036,179.48047000000042,-348.29882799999905,35.57983400000012,232.1699220000046,25.239990000000034,-0.5200040000000001,2.840011000000004,136.100006
2008-01-30,40.39990200000011,18.35009700000046,52.319823999999244,94.9492199999986,-951.4609380000002,-14.069825000000037,-155.4892579999996,6.280029999999897,-2.180008000000015,-0.5200040000000001,135.580002
2008-01-31,165.0996099999993,-48.35986299999968,-30.040039000000434,-41.859379999999874,-333.98046899999827,-29.25,364.98925800000507,-10.239990999999918,4.540008,-2.180008000000015,133.399994
2008-02-01,165.0996099999993,72.41992200000004,39.310058000000026,199.88965000000098,331.6601559999981,75.46997099999999,-20.580078000000867,26.6199959999999,1.270005000000026,4.540008,137.940002
2008-02-04,-69.10009700000046,91.46972699999878,122.45019600000069,104.94043000000056,147.00976499999888,20.839844000000085,217.10058599999866,16.780029000000013,-3.270005000000026,1.270005000000026,139.21000700000002
2008-02-05,-152.5,-57.16992199999913,-19.89990299999954,-111.26074000000153,98.59960999999748,-68.60986300000013,-60.66992199999913,-15.09997599999997,-1.3599999999999852,-3.270005000000026,135.940002
2008-02-06,-7.5,-240.67968800000017,-272.20019500000035,-374.5996099999993,11.310547000000952,-17.630126999999902,-449.29003899999407,-40.800048999999944,-2.7799990000000037,-1.3599999999999852,134.580002
2008-02-07,44.89990200000011,63.14990300000045,102.52978499999699,-61.04980000000069,11.310547000000952,-67.55981499999962,129.90039099999922,-15.469970000000103,1.2899930000000097,-2.7799990000000037,131.800003
2008-02-08,44.89990200000011,-27.70019599999887,-51.52978499999699,52.269530000001396,11.310547000000952,30.87988299999961,-125.83984400000008,12.869995000000017,0.01000999999999408,1.2899930000000097,133.089996
2008-02-11,53.0,-111.70996100000139,-53.56982400000015,-66.58008000000154,-788.6308590000008,20.25,-125.83984400000008,-4.959961000000021,1.809997999999979,0.01000999999999408,133.100006
2008-02-12,-64.80029300000024,75.62988299999961,69.5,59.669920000000275,-32.109375,22.56005899999991,23.089844000000085,8.630004999999983,1.099991000000017,1.809997999999979,134.910004
2008-02-13,112.0,63.040039000000434,120.73974599999929,126.56055000000015,-160.53906299999653,13.909912000000077,-94.65038999999888,12.569946000000073,0.9400019999999927,1.099991000000017,136.009995
